IndiFit Canonical ID,IndiFit Exercise Name,Primary Muscle,Equipment,RepDB Candidate ID,RepDB Name,Mapping Confidence,Reason,Asset Available,Start/Peak Available,Taxonomy Conflicts,Manual Review Required
089ec703-a25e-5b12-a39a-78b17ee33742,Flat Barbell Bench Press,Chest,Barbell,barbell-bench-press,Barbell Bench Press,EXACT,Direct movement match; standard flat barbell chest press,YES,YES,None (RepDB: pectoralis_major; IndiFit: Chest),NO
256fb9bd-77a8-5ea5-ab07-cb10d65bce67,Incline Dumbbell Bench Press,Chest,Dumbbells,incline-dumbbell-bench-press,Incline Dumbbell Bench Press,EXACT,Exact name and equipment match; 30-45 degree incline press,YES,YES,None (RepDB: pectoralis_major; IndiFit: Chest),NO
767caf63-b617-5a2f-9a01-a22b55918316,Decline Hammer Strength Press,Chest,Machine,NO_MATCH,None,NO_MATCH,RepDB free tier lacks plate-loaded Hammer Strength decline press; only has barbell decline and generic machine press,NO,NO,Machine subtype mismatch,YES
74aa39bb-ff5a-5ff7-8cbe-e75878af3cf3,Chest Dips,Chest,Bodyweight,dips,Dips,STRONG,RepDB dips is chest/tricep bodyweight dip; name omits 'Chest' qualifier,YES,YES,RepDB classifies under triceps_brachii as primary; IndiFit classifies Chest as primary,YES
91fe3e17-b76e-57b1-b4ef-bc615cb38c5d,Push-Ups,Chest,Bodyweight,push-up,Push-Up,EXACT,Singular vs plural naming difference; exact movement match,YES,YES,None (RepDB: pectoralis_major; IndiFit: Chest),NO
d1ea21fb-ca2a-5fe4-b529-1a48c66e2c3e,Cable Chest Fly,Chest,Cable,cable-fly,Cable Fly,EXACT,Exact movement match; bilateral cable chest fly,YES,YES,None (RepDB: pectoralis_major; IndiFit: Chest),NO
b102bfa4-6cc5-5e60-accb-82a1ae39b8bc,Barbell Deadlift,Back,Barbell,barbell-deadlift,Barbell Deadlift,STRONG,Exact mechanical movement; taxonomy difference on primary muscle,YES,YES,RepDB assigns gluteus_maximus/hamstrings primary; IndiFit assigns Back primary,YES
30dcad52-0a4d-55a4-a33b-e8923f85a51a,Lat Pulldown,Back,Cable,lat-pulldown,Lat Pulldown,EXACT,Exact equipment and mechanics match; wide-grip cable pulldown,YES,YES,None (RepDB: latissimus_dorsi; IndiFit: Back),NO
84011c13-4413-5779-8e7c-64f6a7860c68,Bent Over Barbell Row,Back,Barbell,bent-over-barbell-row,Bent Over Barbell Row,EXACT,Exact equipment and mechanical posture match,YES,YES,None (RepDB: latissimus_dorsi; IndiFit: Back),NO
b353d5f5-6116-5410-b6b3-50b2d78aea57,One-Arm Dumbbell Row,Back,Dumbbells,one-arm-dumbbell-row,One-Arm Dumbbell Row,EXACT,Exact unilateral dumbbell row match,YES,YES,None (RepDB: latissimus_dorsi; IndiFit: Back),NO
4e17e360-9f97-5cd4-a68c-c9dc1dcd7724,Pull-Ups,Back,Bodyweight,pull-up,Pull-Up,EXACT,Singular vs plural naming difference; standard overhand bodyweight pull-up,YES,YES,None (RepDB: latissimus_dorsi; IndiFit: Back),NO
9fae7317-b8a5-5f5c-ba93-9d1611fb21dc,Seated Cable Row,Back,Cable,seated-cable-row,Seated Cable Row,EXACT,Exact cable row mechanics match,YES,YES,None (RepDB: latissimus_dorsi; IndiFit: Back),NO
d3b5ab04-74f6-5155-9621-50238644eeda,Barbell Squat,Quads,Barbell,barbell-back-squat,Barbell Back Squat,EXACT,Exact back squat match; standard bilateral barbell squat,YES,YES,None (RepDB: quadriceps; IndiFit: Quads),NO
081ed879-f46b-592a-8982-345f0f01dd3f,Leg Press,Quads,Machine,leg-press,Leg Press,EXACT,Exact 45-degree sled leg press match,YES,YES,None (RepDB: quadriceps; IndiFit: Quads),NO
7887c839-1b15-5005-a0c9-b942842548e3,Romanian Deadlift (RDL),Hamstrings,Barbell,romanian-deadlift,Romanian Deadlift,EXACT,Exact barbell hinge movement; IndiFit has (RDL) alias in name,YES,YES,None (RepDB: hamstrings; IndiFit: Hamstrings),NO
568fcfd9-bb09-5299-a898-801e93216770,Leg Extensions,Quads,Machine,leg-extension,Leg Extension,EXACT,Singular vs plural naming difference; machine knee extension,YES,YES,None (RepDB: quadriceps; IndiFit: Quads),NO
59ff6c53-7932-57e3-a546-07ac2aa457ae,Seated Leg Curl,Hamstrings,Machine,seated-leg-curl,Seated Leg Curl,EXACT,Exact seated machine knee flexion match,YES,YES,None (RepDB: hamstrings; IndiFit: Hamstrings),NO
426ff89a-6639-51d1-a6c1-33184586bbed,Standing Calf Raise,Calves,Machine,standing-calf-raise,Standing Calf Raise,EXACT,Exact standing machine plantar flexion match,YES,YES,None (RepDB: gastrocnemius; IndiFit: Calves),NO
d8a67487-1f7a-5bed-b1aa-62537870b25b,Walking Lunges,Quads,Dumbbells,walking-lunge,Walking Lunge,EXACT,Singular vs plural naming difference; dumbbell walking lunge,YES,YES,None (RepDB: quadriceps; IndiFit: Quads),NO
d2674149-5f1c-529b-9e3e-136fef2d8933,Overhead Barbell Press,Shoulders,Barbell,overhead-press,Overhead Press,STRONG,RepDB uses standing barbell overhead press; exact movement match,YES,YES,None (RepDB: anterior_deltoid; IndiFit: Shoulders),NO
