family_id,base_name,indifit_primary_uuid,canonical_uuid_bindings,canonical_names,equipment,primary_display_muscle,secondary_display_muscles,repdb_id,repdb_name,repdb_equipment,repdb_primary_muscles,repdb_secondary_muscles,repdb_start_path,repdb_peak_path,repdb_main_path,candidate_confidence,candidate_reason,semantic_conflicts,visual_review_status,visual_review_notes,reviewer,review_date,approval_record_id
FAM-01,Flat Barbell Bench Press,089ec703-a25e-5b12-a39a-78b17ee33742,089ec703-a25e-5b12-a39a-78b17ee33742;b70e7a1c-ec87-578f-bfeb-8fbdbceaf2ca;f5d1ceeb-fe66-51f7-bd58-6c3e9874a969;f9c0eb18-fc35-515c-bf18-f9bf6e1e1a5f,Flat Barbell Bench Press;Flat Barbell Bench Press (Standard);Pause Flat Barbell Bench Press;Slow Eccentric Flat Barbell Bench Press,Barbell,Chest,"Triceps, Shoulders",bench-press,Barbell Bench Press,barbell,pectoralis_major,"anterior_deltoid, triceps_brachii",images/flat/bench-press-start.webp,images/flat/bench-press-peak.webp,,EXACT,Direct movement and equipment match; standard flat barbell chest press.,None (RepDB: pectoralis_major; IndiFit: Chest).,PENDING,,,,
FAM-02,Incline Dumbbell Bench Press,256fb9bd-77a8-5ea5-ab07-cb10d65bce67,256fb9bd-77a8-5ea5-ab07-cb10d65bce67;2d6bbfa9-7c25-5463-b8c2-4a5eec542dd7;c3c0efc1-7d1a-512c-afbf-aa58832a8435;6dbfc969-9524-5d55-8dd2-8eb99a9b708d,Incline Dumbbell Bench Press;Incline Dumbbell Bench Press (Standard);Pause Incline Dumbbell Bench Press;Slow Eccentric Incline Dumbbell Bench Press,Dumbbells,Chest,"Shoulders, Triceps",incline-db-press,Incline Dumbbell Press,dumbbell,pectoralis_major,"anterior_deltoid, triceps_brachii",images/flat/incline-db-press-start.webp,images/flat/incline-db-press-peak.webp,,EXACT,Exact movement and equipment match; 30-45 degree incline dumbbell chest press.,None (RepDB: pectoralis_major; IndiFit: Chest).,PENDING,,,,
FAM-03,Decline Hammer Strength Press,767caf63-b617-5a2f-9a01-a22b55918316,767caf63-b617-5a2f-9a01-a22b55918316;f2103bf2-af7f-5133-87d8-b8786f3eaf7e;a5854b31-1917-565c-8d1a-7e88e2a5772d;5cdc2480-a820-57e5-87fd-73743346ad72,Decline Hammer Strength Press;Decline Hammer Strength Press (Standard);Pause Decline Hammer Strength Press;Slow Eccentric Decline Hammer Strength Press,Machine,Chest,Triceps,NO_MATCH,,,,,,,,NO_MATCH,RepDB free tier lacks plate-loaded convergent Decline Hammer Strength press; only has barbell decline and generic machine press.,Machine apparatus subtype mismatch. Fails closed to B05 text/muscle fallback. Do not substitute generic decline bench.,PENDING,,,,
FAM-04,Chest Dips,74aa39bb-ff5a-5ff7-8cbe-e75878af3cf3,74aa39bb-ff5a-5ff7-8cbe-e75878af3cf3;8fe2c474-0f11-5d9c-be8a-c60318ce992e;2fa5be19-f538-5182-82dc-df4c0840cb8f;52495689-5ee4-59e5-b1a7-640a45fd8100,Chest Dips;Chest Dips (Standard);Pause Chest Dips;Slow Eccentric Chest Dips,Bodyweight,Chest,Triceps,dips,Chest Dips,dip_station,"pectoralis_major, triceps_brachii",anterior_deltoid,images/flat/dips-start.webp,images/flat/dips-peak.webp,,STRONG,RepDB dips matches dip-station bodyweight dip with forward torso lean.,Taxonomy difference: RepDB classifies under triceps_brachii as primary with pectoralis_major secondary; IndiFit classifies Chest as primary. Torso angle in visual shows chest engagement.,PENDING,,,,
FAM-05,Push-Ups,91fe3e17-b76e-57b1-b4ef-bc615cb38c5d,91fe3e17-b76e-57b1-b4ef-bc615cb38c5d;b20a3a7f-ae82-5555-89f5-19ae1fa3c749;bfdfef59-a292-5ee3-a5aa-c3a5e845c43d;c01c0c9e-561b-53c8-aa5e-26fbd0eb4e5e,Push-Ups;Push-Ups (Standard);Pause Push-Ups;Slow Eccentric Push-Ups,Bodyweight,Chest,"Triceps, Core",push-up,Push-Up,,"pectoralis_major, triceps_brachii",anterior_deltoid,images/flat/push-up-start.webp,images/flat/push-up-peak.webp,,EXACT,Singular vs plural naming difference; exact standard prone bodyweight push-up.,None (RepDB: pectoralis_major; IndiFit: Chest).,PENDING,,,,
FAM-06,Cable Chest Fly,d1ea21fb-ca2a-5fe4-b529-1a48c66e2c3e,d1ea21fb-ca2a-5fe4-b529-1a48c66e2c3e;dbafb9d3-d2eb-5460-a2ef-98cf1eb19bc5;8470a7d9-c020-5fe8-ba68-d0bfebe706e2;61bc7ff5-e8d9-5e92-ba7d-fe3910c22d4f,Cable Chest Fly;Cable Chest Fly (Standard);Pause Cable Chest Fly;Slow Eccentric Cable Chest Fly,Cables,Chest,,cable-fly,Cable Fly,cable,pectoralis_major,anterior_deltoid,images/flat/cable-fly-start.webp,images/flat/cable-fly-peak.webp,,EXACT,Exact movement and cable apparatus match; bilateral standing cable chest fly.,None (RepDB: pectoralis_major; IndiFit: Chest).,PENDING,,,,
FAM-07,Barbell Deadlift,b102bfa4-6cc5-5e60-accb-82a1ae39b8bc,b102bfa4-6cc5-5e60-accb-82a1ae39b8bc;7fd950ce-79e5-5558-86d7-fc197b1026ea;18b6bdf9-9941-5bb1-9369-1c8d73f41560;3bc421ec-ab46-5c7c-a9fb-ce137b9bf737,Barbell Deadlift;Barbell Deadlift (Standard);Pause Barbell Deadlift;Slow Eccentric Barbell Deadlift,Barbell,Back,"Glutes, Hamstrings",deadlift,Barbell Deadlift,barbell,"erector_spinae, gluteus_maximus, hamstrings","quadriceps, trapezius",images/flat/deadlift-start.webp,images/flat/deadlift-peak.webp,,STRONG,Exact mechanical movement; standard conventional bilateral barbell deadlift.,Taxonomy difference: RepDB assigns gluteus_maximus/hamstrings as primary with erector_spinae/latissimus_dorsi secondary; IndiFit classifies Back as primary display category with posterior chain secondary.,PENDING,,,,
FAM-08,Lat Pulldown,30dcad52-0a4d-55a4-a33b-e8923f85a51a,30dcad52-0a4d-55a4-a33b-e8923f85a51a;924f6bfe-7c00-5dca-b6a0-9bbd38771b0f;a9424a05-8453-52ea-aee4-b94ae2a2fbfe;aa3707c7-fc1b-51cf-987c-7fd002d64e5e,Lat Pulldown;Lat Pulldown (Standard);Pause Lat Pulldown;Slow Eccentric Lat Pulldown,Cables,Back,Biceps,lat-pulldown,Lat Pulldown,cable,latissimus_dorsi,"biceps_brachii, posterior_deltoid, rhomboids",images/flat/lat-pulldown-start.webp,images/flat/lat-pulldown-peak.webp,,EXACT,Exact equipment and mechanics match; wide-grip seated cable pulldown.,None (RepDB: latissimus_dorsi; IndiFit: Back).,PENDING,,,,
FAM-09,Bent Over Barbell Row,84011c13-4413-5779-8e7c-64f6a7860c68,84011c13-4413-5779-8e7c-64f6a7860c68;325be024-0a2a-5752-81c3-117d833ca80b;82bc5ef4-2fcc-5752-8c52-3f407263cacd;0f26c6a6-7e5f-5099-aa2e-b8ee59d2c99e,Bent Over Barbell Row;Bent Over Barbell Row (Standard);Pause Bent Over Barbell Row;Slow Eccentric Bent Over Barbell Row,Barbell,Back,Biceps,barbell-row,Bent-Over Barbell Row,barbell,"latissimus_dorsi, rhomboids","biceps_brachii, posterior_deltoid",images/flat/barbell-row-start.webp,images/flat/barbell-row-peak.webp,,EXACT,Exact equipment and mechanical posture match; standing bent-over barbell row.,None (RepDB: latissimus_dorsi; IndiFit: Back).,PENDING,,,,
FAM-10,One-Arm Dumbbell Row,b353d5f5-6116-5410-b6b3-50b2d78aea57,b353d5f5-6116-5410-b6b3-50b2d78aea57;c920003d-fd67-5632-af80-571261d344d6;ecdbffb9-e1c9-516a-a217-cf42bad1a131;11191d4f-9d7c-5501-9d1e-6dc1e172273c,One-Arm Dumbbell Row;One-Arm Dumbbell Row (Standard);Pause One-Arm Dumbbell Row;Slow Eccentric One-Arm Dumbbell Row,Dumbbells,Back,Biceps,single-arm-db-row,Single-Arm Dumbbell Row,dumbbell,"latissimus_dorsi, rhomboids","biceps_brachii, posterior_deltoid",images/flat/single-arm-db-row-start.webp,images/flat/single-arm-db-row-peak.webp,,EXACT,Exact unilateral bench-supported dumbbell row match.,None (RepDB: latissimus_dorsi; IndiFit: Back).,PENDING,,,,
