family_id,indifit_name,repdb_id,human_decision,human_reason,terra_recommendation,approved_variant_reuse,approval_record_id,approval_date,approved_by,notes
FAM-01,Flat Barbell Bench Press,bench-press,APPROVED,"Visual truthfully communicates conventional flat barbell bench press mechanics, setup, and barbell equipment.",APPROVE_RECOMMENDED,true,REC-R08-02-FAM-01,2026-08-21,Human Product Owner,Approved for 4 canonical variants as underlying movement illustration.
FAM-02,Incline Dumbbell Bench Press,incline-db-press,APPROVED,"Incline angle, bilateral dumbbell loading, and pressing path are visually truthful.",APPROVE_RECOMMENDED,true,REC-R08-02-FAM-02,2026-08-21,Human Product Owner,Neutral-to-semi-pronated dumbbell orientation is harmless.
FAM-03,Decline Hammer Strength Press,NO_MATCH,REJECTED_FALLBACK,No truthful plate-loaded/convergent decline Hammer Strength-style candidate exists in RepDB free tier.,REJECT_RECOMMENDED,false,REC-R08-02-FAM-03,2026-08-21,Human Product Owner,Fails closed to B05 canonical muscle / neutral text fallback. Generic decline barbell or machine art prohibited.
FAM-04,Chest Dips,dips,APPROVED,"Forward torso lean, shoulder descent, and elbow path are visually sufficient for chest-biased bodyweight dips.",APPROVE_RECOMMENDED,true,REC-R08-02-FAM-04,2026-08-21,Human Product Owner,RepDB primary-muscle triceps label does not invalidate the visually truthful forward-leaning chest dip pose.
FAM-05,Push-Ups,push-up,APPROVED,Exact prone bodyweight push-up movement match.,APPROVE_RECOMMENDED,true,REC-R08-02-FAM-05,2026-08-21,Human Product Owner,Standard prone push-up pose pair.
FAM-06,Cable Chest Fly,cable-fly,APPROVED,Standing bilateral cable fly arc is visually clear and distinct from a press.,APPROVE_RECOMMENDED,true,REC-R08-02-FAM-06,2026-08-21,Human Product Owner,Approved for 4 canonical variants.
FAM-07,Barbell Deadlift,deadlift,APPROVED,Truthfully communicates conventional floor-to-lockout barbell deadlift mechanics and posture.,APPROVE_RECOMMENDED,true,REC-R08-02-FAM-07,2026-08-21,Human Product Owner,RepDB posterior chain muscle classification does not override visual conventional deadlift correctness.
FAM-08,Lat Pulldown,lat-pulldown,APPROVED,"Seated orientation, high cable pulley, and vertical pull range are truthful.",APPROVE_RECOMMENDED,true,REC-R08-02-FAM-08,2026-08-21,Human Product Owner,Wide straight bar grip is consistent with generic canonical pulldown.
FAM-09,Bent Over Barbell Row,barbell-row,APPROVED,Bent-over hip-hinged torso posture and barbell pulling trajectory are unambiguous.,APPROVE_RECOMMENDED,true,REC-R08-02-FAM-09,2026-08-21,Human Product Owner,Approved for 4 canonical variants.
FAM-10,One-Arm Dumbbell Row,single-arm-db-row,APPROVED,Truthful bench-supported unilateral dumbbell rowing illustration.,APPROVE_RECOMMENDED,true,REC-R08-02-FAM-10,2026-08-21,Human Product Owner,Fixed visual side depiction is harmless for bilateral catalog entry.
FAM-11,Pull-Ups,pull-up,APPROVED,Dead-hang to chin-over-bar vertical bodyweight pulling mechanics match canonical pull-up.,APPROVE_RECOMMENDED,true,REC-R08-02-FAM-11,2026-08-21,Human Product Owner,Standard overhand bodyweight pull-up.
FAM-12,Seated Cable Row,wide-grip-seated-cable-row,APPROVED,Seated cable horizontal pull mechanics are truthful; wide straight bar attachment is acceptable generic specificity.,APPROVE_RECOMMENDED,true,REC-R08-02-FAM-12,2026-08-21,Human Product Owner,Caveat noted: wide-grip straight bar attachment depicted; does not invalidate unspecialized seated row.
FAM-13,Barbell Squat,squat,APPROVED,"Bilateral upper-back barbell placement, stance, and squat depth are visually correct.",APPROVE_RECOMMENDED,true,REC-R08-02-FAM-13,2026-08-21,Human Product Owner,Standard bilateral barbell back squat.
FAM-14,Leg Press,leg-press,APPROVED,Standard 45-degree sled leg press machine faithfully represents canonical machine movement.,APPROVE_RECOMMENDED,true,REC-R08-02-FAM-14,2026-08-21,Human Product Owner,45-degree inclined sled apparatus is standard generic presentation.
FAM-15,Romanian Deadlift (RDL),romanian-deadlift,APPROVED,Standing hip-hinge bar trajectory along legs clearly distinguishes RDL from floor deadlift.,APPROVE_RECOMMENDED,true,REC-R08-02-FAM-15,2026-08-21,Human Product Owner,Approved for 4 canonical variants.
FAM-16,Leg Extensions,leg-extension,APPROVED,Seated machine knee extension with lower-leg pad is visually truthful.,APPROVE_RECOMMENDED,true,REC-R08-02-FAM-16,2026-08-21,Human Product Owner,Standard seated quad isolation machine.
FAM-17,Seated Leg Curl,leg-curl,REJECTED_FALLBACK,"RepDB candidate depicts a prone/lying leg curl, which materially differs in body orientation and apparatus geometry from canonical Seated Leg Curl.",REJECT_RECOMMENDED,false,REC-R08-02-FAM-17,2026-08-21,Human Product Owner,Fails closed to B05 canonical muscle / neutral text fallback. Do not bind lying leg curl art to seated UUIDs.
