Finding_ID,Area,Audit_Section,Priority,Finding,Roadmap_Task,Release_Class,Status,Implementation_Commit,Review_Model,Review_Commit,Manual_Acceptance,Notes
EXT-01,External assets,Sol R08-0 final,BLOCKER,Pin immutable external provenance/license/checksums,R08-0.1,BLOCKER,IMPLEMENTED,d83c905,Sol High,d83c905,PENDING,
EXT-02,External assets,Sol R08-0 §3,BLOCKER,RepDB CSV remains candidate-only; contact-sheet + review + human approval,R08-0.2,BLOCKER,PLANNED,,,,PENDING,
EXT-03,Exercise identity,Sol R08-0 §2,GUARDRAIL,Keep 140 UUID identities; no baseMovementVisualKey in domain/database,R08-0.3,BLOCKER,PLANNED,,,,PENDING,
EXT-04,Exercise visuals,Sol R08-0 final,CORE,Explicit UUID to approved reusable visual asset-set binding,R08-0.3,CORE,PLANNED,,,,PENDING,
EXT-05,Exercise visuals,Sol R08-0 final,CORE,Fallback exact art → muscle → semantic icon → neutral; no fuzzy fallback,R08-0.3,CORE,PLANNED,,,,PENDING,
EXT-06,Exercise visuals,Sol R08-0 §3,CORE,34 RepDB candidates + Decline Hammer Strength Press fallback; no extra variants,R08-0.2,CORE,PLANNED,,,,PENDING,
EXT-07,Exercise taxonomy,Sol R08-0 final,BLOCKER,No B02 taxonomy change; primary display resolver fixes browsing,R08-0.4,BLOCKER,IMPLEMENTED,f36390b,Sol High,f36390b,PENDING,
EXT-08,Muscle visuals,Sol R08-0 §5,CORE,Local MuscleMap-based renderer foundation only,R08-0.5,CORE,PLANNED,,,,PENDING,
EXT-09,Icons,Sol R08-0 final,CORE,Minimal forward-only IndiFitIcons facade,R08-0.6,CORE,PLANNED,,,,PENDING,
EXT-10,Charts,Sol R08-0 final,GUARDRAIL,No new chart dependency without proven gap,R08F.7,CORE,PLANNED,,,,PENDING,
EXT-11,Wakelock,Sol R08-0 final,CORE,Session-wide wakelock runtime ownership belongs to R08B,R08B.6,CORE,PLANNED,,,,PENDING,
EXT-12,Licensing,Sol R08-0 final,BLOCKER,No openGym AGPL code/assets,R08RC.3,BLOCKER,PLANNED,,,,PENDING,
EXT-13,Licensing,Sol R08-0 final,BLOCKER,No unverified Gym Visual/free-exercise-db/Anatome exercise media,R08RC.3,BLOCKER,PLANNED,,,,PENDING,
EXT-14,Performance,Sol R08-0 §8,CORE,Replace asset-performance estimates with measurements,R08-0.3;R08H.5;R08RC.3,CORE,PLANNED,,,,PENDING,
TOD-01,Today/Onboarding,§14,P0/P1,Stale Next Up / activation / completion invalidation,R08A.2,BLOCKER,PLANNED,,,,PENDING,
TOD-02,Today/Onboarding,§14,P1,Personalized onboarding payoff + target explanation/edit,R08E.1;R08E.2,CORE,PLANNED,,,,PENDING,
TOD-03,Today,§14,P1,Compress greeting/date; conditionalize Next Up/empty modules,R08E.3;R08E.4,CORE,PLANNED,,,,PENDING,
TOD-04,Today/Nutrition,§14,P1,Calorie ring opens safe Nutrition Targets editing,R08E.2,CORE,PLANNED,,,,PENDING,
TOD-05,Today/Food,§14,P1,Dark-mode success Snackbar/theme consistency,R08A.4;R08H.1,BLOCKER,PLANNED,,,,PENDING,
TOD-06,Today,§14,P1,Customize Today simple reorder/visibility,R08E.6,CORE,PLANNED,,,,PENDING,
TOD-07,Today,§14,P2,Weak Activity/Progress filler → compact evidence or hide,R08E.4,POLISH,PLANNED,,,,PENDING,
TOD-08,Today/Nutrition,§14,P2,Collapse repeated incomplete-nutrition messages,R08E.5,POLISH,PLANNED,,,,PENDING,
TOD-09,Today/Nutrition,§14,P2,Hide/de-emphasize Meal ideas until useful,R08E.5,CORE,PLANNED,,,,PENDING,
TOD-10,Today/Hydration,§14,P2 decision,Hydration requires persisted authority before Today module,R08E.7,POST-V1,PLANNED,,,,PENDING,
TOD-11,Today,§14,P3,Nav icon/streak grammar/dark-surface polish,R08H.3;R08H.4,POLISH,PLANNED,,,,PENDING,
FOOD-01,Food,§35,P1 bug,Today ↔ Food target disagreement,R08A.1,BLOCKER,PLANNED,,,,PENDING,
FOOD-02,Food,§35,P1 bug,Success Snackbar never dismisses,R08A.4,BLOCKER,PLANNED,,,,PENDING,
FOOD-03,Food,§35,P1 bug,Quantity sheet flicker on +/-,R08A.4,BLOCKER,PLANNED,,,,PENDING,
FOOD-04,Food/Recipes,§35,P1 bug,Create Recipe header broken in light mode,R08A.4,BLOCKER,PLANNED,,,,PENDING,
FOOD-05,Food/Search,§35,P1,Search relevance poha/dosa/rice,R08D.2,CORE,PLANNED,,,,PENDING,
FOOD-06,Food,§35,P1,Hide batch abstraction; independent rows,R08D.4,CORE,PLANNED,,,,PENDING,
FOOD-07,Food,§35,P1,Direct editing + correct Updated feedback,R08D.4,CORE,PLANNED,,,,PENDING,
FOOD-08,Food,§35,P1,Danger semantics for destructive actions,R08D.8;R08H.1,CORE,PLANNED,,,,PENDING,
FOOD-09,Food/AI,§35,P1,Hide unavailable AI/Photo paths,R08D.8,CORE,PLANNED,,,,PENDING,
FOOD-10,Food,§35,P1/P2,Consolidate compatible duplicate food rows safely,R08D.4,CORE,PLANNED,,,,PENDING,
FOOD-11,Food/Search,§35,P2,Explicit multi-select mode,R08D.5,POLISH,PLANNED,,,,PENDING,
FOOD-12,Food/Search,§35,P2,Dense result rows + metadata cleanup,R08D.2,POLISH,PLANNED,,,,PENDING,
FOOD-13,Food,§35,P2,Bound Recent + repeat quantity affordance,R08D.3,POLISH,PLANNED,,,,PENDING,
FOOD-14,Food/Saved Meals,§35,P2,Search-first Saved Meal builder,R08D.6,CORE,PLANNED,,,,PENDING,
FOOD-15,Food/Saved Meals,§35,P2,Remove repeated incomplete-nutrition consent friction,R08D.6,POLISH,PLANNED,,,,PENDING,
FOOD-16,Food/Serving,§35,P2,Relevant unit defaults/supported alternatives only,R08D.3,CORE,PLANNED,,,,PENDING,
FOOD-17,Food,§35,P2,Compact target-aware diary visualization,R08D.1,POLISH,PLANNED,,,,PENDING,
FOOD-18,Food/Recipes,§35,P2,Recipe builder consumer rewrite,R08D.7,CORE,PLANNED,,,,PENDING,
FOOD-19,Food,§35,P2/P3,Meal picker identity + optional snack slots,R08D.5,POLISH,PLANNED,,,,PENDING,
