family_id,indifit_name,repdb_id,terra_recommendation,movement_match,equipment_match,body_position_match,grip_stance_notes,range_direction_notes,variant_reuse_safe,terra_reason,human_decision,human_notes
FAM-01,Flat Barbell Bench Press,bench-press,APPROVE_RECOMMENDED,MATCH,MATCH,MATCH,"Bilateral overhand bar grip; generic bench stance.","Bar travels overhead to chest and returns; same press direction.",YES,"START/PEAK clearly communicate a conventional flat barbell bench press.",PENDING,""
FAM-02,Incline Dumbbell Bench Press,incline-db-press,APPROVE_RECOMMENDED,MATCH,MATCH,MATCH,"Bilateral dumbbells; neutral-to-semi-pronated presentation is harmless.","Dumbbells move from chest level to overhead and back on the incline.",YES,"Incline, bilateral loading, and pressing direction are visually truthful.",PENDING,""
FAM-03,Decline Hammer Strength Press,NO_MATCH,REJECT_RECOMMENDED,NO_MATCH,NO_MATCH,NO_MATCH,"No candidate grip or stance is available.","No candidate range is available; do not infer from generic decline art.",NO,"No truthful candidate exists; generic decline barbell or machine art would materially mislead about the plate-loaded convergent apparatus.",PENDING,"Confirm fail-closed fallback rather than any related decline artwork."
FAM-04,Chest Dips,dips,APPROVE_RECOMMENDED,MATCH,MATCH,MATCH,"Bilateral parallel-bar support; crossed ankles are harmless; torso leans forward at the bottom.","Shoulder descends below elbow with elbows flexing, then presses back up.",YES,"The forward torso lean, shoulder position, and elbow path are sufficient for a chest-biased dip; RepDB taxonomy does not invalidate the visual.",PENDING,""
FAM-05,Push-Ups,push-up,APPROVE_RECOMMENDED,MATCH,MATCH,MATCH,"Bilateral hands on floor, roughly shoulder-width; straight body line.","Chest lowers toward floor and presses to straight-arm support.",YES,"The pair shows the canonical prone bodyweight press without a material variant.",PENDING,""
FAM-06,Cable Chest Fly,cable-fly,APPROVE_RECOMMENDED,MATCH,MATCH,MATCH,"Bilateral cable handles; standing stance.","Arms move from wide/open to hands together at chest height.",YES,"The cable path and fly arc are clear and not a cable press.",PENDING,""
FAM-07,Barbell Deadlift,deadlift,APPROVE_RECOMMENDED,MATCH,MATCH,MATCH,"Bilateral conventional bar grip and stance.","Bar rises from floor to standing lockout with the same vertical direction.",YES,"The poses depict a conventional barbell deadlift; external RepDB taxonomy does not change the visual judgment.",PENDING,""
FAM-08,Lat Pulldown,lat-pulldown,APPROVE_RECOMMENDED,MATCH,MATCH,MATCH,"Wide straight-bar grip is specific but consistent with a generic pulldown.","Bar travels from overhead to upper chest and returns.",YES,"Seated orientation, cable apparatus, and vertical pull direction are correct.",PENDING,""
FAM-09,Bent Over Barbell Row,barbell-row,APPROVE_RECOMMENDED,MATCH,MATCH,MATCH,"Bilateral bar grip; conventional hip-hinged stance.","Bar moves from hanging below shoulders toward the torso.",YES,"The bent-over posture and horizontal pull are unambiguous.",PENDING,""
FAM-10,One-Arm Dumbbell Row,single-arm-db-row,APPROVE_RECOMMENDED,MATCH,MATCH,MATCH,"One-arm dumbbell with opposite hand and knee supported on bench; depicted side is harmless.","Dumbbell travels from hanging to the side of the torso.",YES,"The image is a truthful unilateral bench-supported row; one shown side does not change the canonical family.",PENDING,""
FAM-11,Pull-Ups,pull-up,APPROVE_RECOMMENDED,MATCH,MATCH,MATCH,"Bilateral overhand/wide grip; no kipping or assistance shown.","Body rises from dead hang toward bar and lowers back.",YES,"The hanging setup and vertical pulling range match the canonical pull-up.",PENDING,""
FAM-12,Seated Cable Row,wide-grip-seated-cable-row,APPROVE_RECOMMENDED,MATCH,MATCH,MATCH,"Wide straight-bar grip rather than a V-handle; canonical does not prescribe an attachment.","Arms extend forward and pull the bar to the abdomen.",YES,"This remains a generic seated cable row; the wide-bar specificity is not materially misleading.",PENDING,""
